3,global,20,0.22766673757509276,BEN,CHI
3,local,20,0.21752623826310735,BEN,CHI
4,global,20,0.25470282808665257,BEN,CHI
4,local,20,0.3044967072288577,BEN,CHI
5,global,20,0.26889392018521296,BEN,CHI
5,local,20,0.28795903326152483,BEN,CHI
6,global,20,0.30843390470204285,BEN,CHI
6,local,20,0.493064227977409,BEN,CHI
7,global,20,0.2742781736809963,BEN,CHI
7,local,20,0.3354597794838851,BEN,CHI
8,global,20,0.2537614118658842,BEN,CHI
8,local,20,0.31066849808110497,BEN,CHI
9,global,20,0.3067119461367651,BEN,CHI
9,local,20,0.4793611361334813,BEN,CHI
10,global,20,0.21086655019349754,BEN,CHI
10,local,20,0.20181076888158306,BEN,CHI
11,global,20,0.25521542387637836,BEN,CHI
11,local,20,0.2781397611992787,BEN,CHI
12,global,20,0.25119116117396106,BEN,CHI
12,local,20,0.3356184018479824,BEN,CHI
13,global,20,0.2704529733483753,BEN,CHI
13,local,20,0.349864947017665,BEN,CHI
14,global,20,0.2899494379580803,BEN,CHI
14,local,20,0.38459842252547305,BEN,CHI
15,global,20,0.25317287336140226,BEN,CHI
15,local,20,0.3020212218158741,BEN,CHI
16,global,20,0.21605968790387278,BEN,CHI
16,local,20,0.17928348855728804,BEN,CHI
17,global,20,0.270069522793664,BEN,CHI
17,local,20,0.33598352662006375,BEN,CHI
18,global,20,0.24272049232926146,BEN,CHI
18,local,20,0.32561629600569564,BEN,CHI
19,global,20,0.29657104240863574,BEN,CHI
19,local,20,0.39163381305733636,BEN,CHI
20,global,20,0.21971150284307794,BEN,CHI
20,local,20,0.22057675320250852,BEN,CHI
1,global,20,0.19602262247922397,BUL,CHI
1,local,20,-0.02604360506511766,BUL,CHI
2,global,20,0.29353833420935316,BUL,CHI
2,local,20,0.34144624881898344,BUL,CHI
3,global,20,0.26571698641835745,BUL,CHI
3,local,20,0.27697497509587654,BUL,CHI
4,global,20,0.2830920132064798,BUL,CHI
4,local,20,0.35290235727778363,BUL,CHI
5,global,20,0.25817908343371354,BUL,CHI
5,local,20,0.3041992103959706,BUL,CHI
6,global,20,0.33102898148322224,BUL,CHI
6,local,20,0.4648116924161645,BUL,CHI
7,global,20,0.28603917294004566,BUL,CHI
7,local,20,0.38530374532500217,BUL,CHI
8,global,20,0.2785285477390581,BUL,CHI
8,local,20,0.36809517641194106,BUL,CHI
9,global,20,0.2846361774310676,BUL,CHI
9,local,20,0.378966227240032,BUL,CHI
