"imputed_semantic_domain","l1","l2","Unnamed..0","overlap","p","rho","cult.dist"
"Agriculture and vegetation","cs","da",26387.0454545,9.22727272727,0.298878247966,0.345301696721,NA
"Agriculture and vegetation","cs","de",27180.826087,13.3043478261,0.279651408213,0.328400765721,NA
"Agriculture and vegetation","cs","en",27974.1666667,11.5,0.295136254519,0.300821199454,0.181818181818182
"Agriculture and vegetation","cs","es",28761.125,12.4166666667,0.427696783927,0.277097614631,0
"Agriculture and vegetation","cs","eu",29506.8888889,8.61111111111,0.429094958595,0.334819032285,NA
"Agriculture and vegetation","cs","fr",30230,10.5909090909,0.336097472066,0.294973761084,0.181818181818182
"Agriculture and vegetation","cs","he",30976.875,9.6875,0.471238217642,0.182889295245,0.272727272727273
"Agriculture and vegetation","cs","it",31689.1818182,11.4090909091,0.364316867491,0.352450643039,NA
"Agriculture and vegetation","cs","ja",32403.173913,6.4347826087,0.376511941582,0.187497947344,0.272727272727273
"Agriculture and vegetation","cs","ka",33065.9,10.65,0.324710430474,0.276859839842,NA
"Agriculture and vegetation","cs","kk",33762.3913043,7.95652173913,0.372773046302,0.294371496025,0.685454545454545
"Agriculture and vegetation","cs","la",34435.6111111,6.5,0.414746565837,0.0498663091381,0.272727272727273
"Agriculture and vegetation","cs","lt",35179.9047619,11.3333333333,0.242029825157,0.367578306661,0.272727272727273
"Agriculture and vegetation","cs","nl",35936.8636364,9.5,0.387043013077,0.2464506175,0.181818181818182
"Agriculture and vegetation","cs","no",36764.7894737,9.78947368421,0.311335841756,0.334452741648,NA
"Agriculture and vegetation","cs","pl",37497.8695652,14.7826086957,0.221471225153,0.42011994082,NA
"Agriculture and vegetation","cs","pt",38260.6956522,11.9565217391,0.419568517668,0.258849978451,NA
"Agriculture and vegetation","cs","ro",39017.7916667,9.79166666667,0.392495997836,0.302113477927,NA
"Agriculture and vegetation","cs","ru",39783.7727273,14.6818181818,0.296302705352,0.426013647714,0.090909090909091
"Agriculture and vegetation","da","be",40524.1363636,7.86363636364,0.38294864607,0.366089730875,NA
"Agriculture and vegetation","da","ca",41279.4,9.24,0.351797752122,0.244726256936,NA
"Agriculture and vegetation","da","de",42097.2307692,11.4615384615,0.287637994968,0.330157208944,NA
"Agriculture and vegetation","da","en",42977.1538462,9.96153846154,0.302165048743,0.340496168093,NA
"Agriculture and vegetation","da","es",43848.44,9.88,0.417805524124,0.249488885393,NA
"Agriculture and vegetation","da","eu",44683.1,7.5,0.529937582005,0.222397106726,NA
"Agriculture and vegetation","da","fr",45461.4583333,8.95833333333,0.405347029899,0.336006574938,NA
"Agriculture and vegetation","da","he",46283.6666667,7.66666666667,0.315709014066,0.320698811387,NA
"Agriculture and vegetation","da","it",47054.3043478,9.30434782609,0.394832581212,0.215391446112,NA
"Agriculture and vegetation","da","ja",47835.48,5.96,0.511789121738,0.199619798197,NA
"Agriculture and vegetation","da","ka",48528.5909091,8.5,0.391640424959,0.178228796022,NA
"Agriculture and vegetation","da","kk",49256.0833333,7.66666666667,0.468664007449,0.266458754196,NA
"Agriculture and vegetation","da","la",49988.1875,4.875,0.448455204927,-0.034953790393,NA
"Agriculture and vegetation","da","nl",50774.2173913,10.6086956522,0.426584780944,0.27987717538,NA
"Agriculture and vegetation","da","pt",51632.2272727,9.68181818182,0.334592121066,0.144128599206,NA
"Agriculture and vegetation","da","ro",52470.5833333,8.04166666667,0.338504937468,0.26274268415,NA
"Agriculture and vegetation","de","be",53265.826087,10.8695652174,0.462711348409,0.205036512874,NA
"Agriculture and vegetation","de","ca",54049.6296296,11.5185185185,0.220290766633,0.342848453808,NA
"Agriculture and vegetation","de","en",54900.2068966,13.0689655172,0.247108479454,0.389098353232,NA
"Agriculture and vegetation","de","es",55794.8888889,12.8888888889,0.25021107199,0.426062629423,NA
"Agriculture and vegetation","de","eu",56664.2272727,9.90909090909,0.46039108058,0.124413386736,NA
"Agriculture and vegetation","de","fr",57465.92,13,0.136829916423,0.479628168402,NA
"Agriculture and vegetation","de","he",58325.65,10.2,0.378107715599,0.286958605473,NA
"Agriculture and vegetation","de","it",59122.5416667,11.125,0.45246678338,0.272983797968,NA
"Agriculture and vegetation","de","ja",59954.3703704,8.59259259259,0.388028948865,0.206091607976,NA
"Agriculture and vegetation","de","ka",60661.9545455,11.5454545455,0.426674637957,0.230737876954,NA
"Agriculture and vegetation","de","kk",61388.4230769,8.84615384615,0.277898851979,0.174818600087,NA
"Agriculture and vegetation","de","la",62186.2222222,6.72222222222,0.482173059509,0.1410945161,NA
"Agriculture and vegetation","de","nl",62985.5185185,14.5185185185,0.387969818762,0.296447130045,NA
"Agriculture and vegetation","de","pt",63900.48,12.04,0.286377241813,0.230807525508,NA
"Agriculture and vegetation","de","ro",64771.6153846,12.0384615385,0.468573053803,0.246583035347,NA
"Agriculture and vegetation","en","be",65603.125,9.91666666667,0.355807827045,0.226226014966,0.090909090909091
"Agriculture and vegetation","en","ca",66355.3846154,12.6153846154,0.339394741418,0.319495902126,NA
"Agriculture and vegetation","en","es",67195.3703704,14.2592592593,0.22778280939,0.456757562006,0.181818181818182
"Agriculture and vegetation","en","eu",68055.3636364,10.1363636364,0.503252303431,0.206544391559,NA
"Agriculture and vegetation","en","fr",68845.9615385,12.9230769231,0.187076578879,0.362985233072,0.181818181818182
"Agriculture and vegetation","en","he",69691.3333333,8.33333333333,0.444712978749,0.179351851045,0.181818181818182
"Agriculture and vegetation","en","it",70483.4166667,11.7083333333,0.308082472469,0.326980820605,NA
"Agriculture and vegetation","en","ja",71295.9166667,8.20833333333,0.355902872092,0.308517689313,0.363636363636364
"Agriculture and vegetation","en","ka",72024.4545455,11.1818181818,0.384648932634,0.261744670666,NA
"Agriculture and vegetation","en","kk",72755.8888889,9.81481481481,0.350841441406,0.384421127034,0.776363636363637
"Agriculture and vegetation","en","la",73526.6,6.65,0.503675570597,0.0178686781778,0.181818181818182
"Agriculture and vegetation","en","pt",74292.8461538,11.8076923077,0.299701074479,0.206374388689,NA
"Agriculture and vegetation","en","ro",75158.7692308,11.1923076923,0.331762669406,0.272262270555,NA
"Agriculture and vegetation","en","ru",75989.2307692,11.9230769231,0.323474519534,0.319864415274,0.272727272727273
"Agriculture and vegetation","eu","be",76749.4736842,8.36842105263,0.567598904951,0.124758587642,NA
"Agriculture and vegetation","eu","es",77465.9090909,10.2272727273,0.284204608801,0.21286423383,NA
"Agriculture and vegetation","eu","he",78207.5714286,8.14285714286,0.540170470226,0.272498115743,NA
"Agriculture and vegetation","fi","be",78935.6818182,10.9545454545,0.31376665535,0.306376840273,NA
"Agriculture and vegetation","fi","bg",79685.173913,9.73913043478,0.332888542179,0.380394349957,NA
"Agriculture and vegetation","fi","ca",80389.6956522,10.2173913043,0.483195976573,0.12855464469,NA
"Agriculture and vegetation","fi","cs",81181.047619,11.5238095238,0.411798588091,0.17863956748,NA
"Agriculture and vegetation","fi","da",81941.28,8.64,0.408172757514,0.223807674113,NA
"Agriculture and vegetation","fi","de",82786.1538462,11.3461538462,0.371335211778,0.226326247578,NA
"Agriculture and vegetation","fi","en",83633.6,11.68,0.332575955339,0.367201745571,NA
"Agriculture and vegetation","fi","es",84481.7307692,10.2692307692,0.298669781165,0.257692569864,NA
"Agriculture and vegetation","fi","eu",85305.2222222,10.1111111111,0.328977674485,0.165725657633,NA
"Agriculture and vegetation","fi","fr",86078.4166667,9.25,0.350226710433,0.195312127625,NA
"Agriculture and vegetation","fi","he",86875.2105263,8.26315789474,0.315859336815,-0.0829413740672,NA
"Agriculture and vegetation","fi","hi",87642.2,9.45,0.326372613767,0.210719560173,NA
"Agriculture and vegetation","fi","hr",88342.5238095,9.66666666667,0.279304217528,0.178607646989,NA
"Agriculture and vegetation","fi","hu",89110.3333333,10.6666666667,0.365173090339,0.318959492338,NA
"Agriculture and vegetation","fi","hy",89905.3157895,12.1052631579,0.385510141554,0.261388069521,NA
"Agriculture and vegetation","fi","it",90661.5454545,9.59090909091,0.445112781745,0.132366209947,NA
"Agriculture and vegetation","fi","ja",91442.9583333,6.66666666667,0.416609286283,0.178544657778,NA
"Agriculture and vegetation","fi","ka",92127.8636364,9.90909090909,0.390328383645,0.218864411302,NA
"Agriculture and vegetation","fi","kk",92855.64,8.92,0.282689498643,0.381622453435,NA
"Agriculture and vegetation","fi","la",93568.8888889,6,0.389658261446,-0.00121618585583,NA
"Agriculture and vegetation","fi","lt",94337.45,11.2,0.359144979553,0.283311103788,NA
"Agriculture and vegetation","fi","nl",95162.0416667,9.75,0.376656893247,0.132358696705,NA
"Agriculture and vegetation","fi","no",96027.5454545,9.81818181818,0.417614196995,0.228687230599,NA
"Agriculture and vegetation","fi","pl",96807.625,10.5,0.298171547072,0.121570001816,NA
"Agriculture and vegetation","fi","pt",97578.6086957,9.73913043478,0.269432916531,0.320500479272,NA
"Agriculture and vegetation","fi","ro",98388.625,9.125,0.398717587935,0.201257298819,NA
"Agriculture and vegetation","fi","ru",99187.25,11.25,0.408833106362,0.215932843103,NA
"Agriculture and vegetation","fi","sk",99976.0909091,10,0.347521836317,0.159408444852,NA
"Agriculture and vegetation","fr","be",100740.727273,9.81818181818,0.417045477095,0.337829352253,0.272727272727273
"Agriculture and vegetation","fr","ca",101492.875,13.6666666667,0.0950991439401,0.513907855588,NA
"Agriculture and vegetation","fr","es",102332.333333,14.0833333333,0.184642445625,0.509273812966,0.181818181818182
"Agriculture and vegetation","fr","eu",103192.1,9.45,0.524216063195,0.036574860642,NA
"Agriculture and vegetation","fr","he",103948.611111,8.88888888889,0.412231498801,-0.00540046561452,0.272727272727273
"Agriculture and vegetation","fr","it",104708.545455,11.6818181818,0.229777358058,0.312424917564,NA
"Agriculture and vegetation","fr","ja",105503.75,7.08333333333,0.312396692023,0.316706614031,0.363636363636364
"Agriculture and vegetation","fr","ka",106213.714286,10.0476190476,0.300638272445,0.3628193144,NA
"Agriculture and vegetation","fr","kk",106908.875,9.54166666667,0.388861558928,0.303375326863,0.776363636363637
"Agriculture and vegetation","fr","pt",107702.913043,13.3043478261,0.295433201457,0.38473345145,NA
"Agriculture and vegetation","fr","ro",108563,9.88,0.287786830768,0.429059577921,NA
"Agriculture and vegetation","he","be",109325.875,8.6875,0.370940805729,0.161879394493,0.272727272727273
"Agriculture and vegetation","he","es",110047.888889,9.77777777778,0.298467428611,0.263805261381,0.272727272727273
"Agriculture and vegetation","hi","be",110806.1,7.15,0.459194869405,0.150875301652,NA
"Agriculture and vegetation","hi","bg",111482.578947,8.63157894737,0.29146360037,0.263190833049,NA
"Agriculture and vegetation","hi","ca",112126.380952,8.85714285714,0.382521417847,0.249502426162,NA
"Agriculture and vegetation","hi","cs",112808.117647,7.17647058824,0.418272361925,0.0828382596627,NA
"Agriculture and vegetation","hi","da",113505.157895,8,0.334714125992,0.283368717763,NA
"Agriculture and vegetation","hi","de",114247.190476,9.28571428571,0.400683689747,0.156332961228,NA
"Agriculture and vegetation","hi","en",115007,9.52380952381,0.375088557922,0.388852140311,NA
"Agriculture and vegetation","hi","es",115768.772727,9.45454545455,0.343125599759,0.239903538431,NA
"Agriculture and vegetation","hi","eu",116478.105263,8.36842105263,0.308464065112,0.207426882819,NA
"Agriculture and vegetation","hi","fr",117181.75,8.75,0.294347836492,0.279559707276,NA
"Agriculture and vegetation","hi","he",117890,6.71428571429,0.278598850564,0.083714543319,NA
"Agriculture and vegetation","hi","hr",118551.368421,6.47368421053,0.301446505837,0.305794273828,NA
"Agriculture and vegetation","hi","hy",119224.6,8.06666666667,0.325984029297,0.205924898168,NA
"Agriculture and vegetation","hi","it",119899.263158,8.15789473684,0.319734953052,0.368077786097,NA
"Agriculture and vegetation","hi","ja",120546.611111,4.61111111111,0.572811074307,-0.111640798909,NA
"Agriculture and vegetation","hi","ka",121166.933333,8.86666666667,0.487875172313,0.128880844624,NA
"Agriculture and vegetation","hi","kk",121852.5,7.31818181818,0.507075771284,0.143981095506,NA
"Agriculture and vegetation","hi","la",122499.2,4.06666666667,0.403986643585,-0.0323446547043,NA
"Agriculture and vegetation","hi","lt",123154.588235,9.23529411765,0.388451760006,0.224549789279,NA
"Agriculture and vegetation","hi","nl",123874.947368,8.94736842105,0.370739781657,0.0508228408184,NA
"Agriculture and vegetation","hi","no",124630.375,8.5625,0.340714171388,0.210876281699,NA
"Agriculture and vegetation","hi","pl",125330.166667,8.61111111111,0.412470473179,0.307795589072,NA
"Agriculture and vegetation","hi","pt",126035.190476,10,0.327855405882,0.289739586134,NA
"Agriculture and vegetation","hi","ro",126731.722222,9.33333333333,0.313785640043,0.286669132675,NA
"Agriculture and vegetation","hi","ru",127462.3,6.6,0.402004835968,0.15539909273,NA
"Agriculture and vegetation","hi","sk",128152.555556,6.61111111111,0.334527699693,-0.1161448581,NA
"Agriculture and vegetation","hr","be",128825.952381,10,0.420544833884,0.301067619367,NA
"Agriculture and vegetation","hr","ca",129539.458333,8.75,0.502032172858,0.0863241830109,NA
"Agriculture and vegetation","hr","cs",130261.636364,9.95454545455,0.410307583503,0.247938638867,NA
"Agriculture and vegetation","hr","da",130995.954545,7.31818181818,0.448079680589,0.0947008096106,NA
"Agriculture and vegetation","hr","de",131758.541667,8.95833333333,0.470232013367,0.060213146933,NA
"Agriculture and vegetation","hr","en",132540.416667,9.125,0.405382111403,0.1930370462,NA
"Agriculture and vegetation","hr","es",133300.083333,9.54166666667,0.316675363867,0.314228321024,NA
"Agriculture and vegetation","hr","eu",134039.947368,7.36842105263,0.456261779194,0.248129064571,NA
"Agriculture and vegetation","hr","fr",134743.9,9.5,0.395897498522,0.1807761689,NA
"Agriculture and vegetation","hr","he",135454.666667,8.22222222222,0.264554811219,0.338890477025,NA
"Agriculture and vegetation","hr","it",136163.428571,8.33333333333,0.432214338428,0.283389246746,NA
"Agriculture and vegetation","hr","ja",136854.047619,5.28571428571,0.41361348069,0.154388381094,NA
"Agriculture and vegetation","hr","ka",137502.45,9.15,0.410566126354,0.314797099172,NA
"Agriculture and vegetation","hr","kk",138169.75,7.79166666667,0.384018740631,0.121931320377,NA
"Agriculture and vegetation","hr","la",138858.4375,5.375,0.506189040101,0.0196555353355,NA
"Agriculture and vegetation","hr","lt",139576.285714,8.80952380952,0.397761695166,0.176407573854,NA
"Agriculture and vegetation","hr","nl",140306.045455,9.18181818182,0.324863672154,0.384063764697,NA
"Agriculture and vegetation","hr","no",141120.4,6.8,0.294765363617,0.385051985356,NA
"Agriculture and vegetation","hr","pl",141838.565217,11.0434782609,0.369874053288,0.369644815085,NA
"Agriculture and vegetation","hr","pt",142582.363636,8.86363636364,0.385520084891,0.270596851599,NA
"Agriculture and vegetation","hr","ro",143328.958333,8.33333333333,0.300764882354,0.375923279932,NA
"Agriculture and vegetation","hr","ru",144071.478261,11.347826087,0.455497703917,0.0988372188107,NA
"Agriculture and vegetation","hr","sk",144809.681818,10.2727272727,0.47942605039,0.150170868827,NA
"Agriculture and vegetation","hu","be",145541.227273,10.5454545455,0.272611562815,0.420521920181,0.272727272727273
"Agriculture and vegetation","hu","bg",146292.708333,11.5,0.408589589982,0.198309278796,0.181818181818182
"Agriculture and vegetation","hu","ca",146991.08,10.72,0.398791732233,0.204545138858,NA
"Agriculture and vegetation","hu","cs",147742.521739,11.0869565217,0.347213722843,0.349245466655,0.181818181818182
"Agriculture and vegetation","hu","da",148492.5,9.75,0.399970166769,0.336879086256,NA
"Agriculture and vegetation","hu","de",149303.615385,12.4615384615,0.307618485899,0.243016652399,NA
"Agriculture and vegetation","hu","en",150142.576923,11.6923076923,0.312688233943,0.332033324283,0.181818181818182
"Agriculture and vegetation","hu","es",150976.653846,12.0769230769,0.325707225623,0.258202451535,0.181818181818182
"Agriculture and vegetation","hu","eu",151771.285714,9.85714285714,0.513857781958,0.0114905469004,NA
"Agriculture and vegetation","hu","fr",152505,10.75,0.343671769606,0.242880334041,0
"Agriculture and vegetation","hu","he",153257.705882,8.76470588235,0.346812867101,0.220314633104,0.272727272727273
"Agriculture and vegetation","hu","hi",154003.105263,9.21052631579,0.448142952576,0.152660084279,NA
"Agriculture and vegetation","hu","hr",154707.782609,9.69565217391,0.29325661848,0.443006083476,NA
"Agriculture and vegetation","hu","hy",155450.631579,10,0.407368035623,0.155899472426,0.181818181818182
"Agriculture and vegetation","hu","it",156189.478261,11.2173913043,0.329099717243,0.270083769623,NA
"Agriculture and vegetation","hu","ja",156936.875,7.79166666667,0.451526022398,0.165773186502,0.363636363636364
"Agriculture and vegetation","hu","ka",157618.6,11.8,0.342798550497,0.406072235245,NA
"Agriculture and vegetation","hu","kk",158342.04,8.68,0.349235154026,0.298726220275,0.776363636363637
"Agriculture and vegetation","hu","la",159066.894737,5.73684210526,0.371619707637,0.284527691836,0.181818181818182
"Agriculture and vegetation","hu","lt",159830.272727,11.1363636364,0.337190955286,0.232730718778,0.181818181818182
"Agriculture and vegetation","hu","nl",160626.2,10.6,0.286932637,0.383703976201,0.181818181818182
"Agriculture and vegetation","hu","no",161469.136364,10,0.268856900313,0.299184538626,NA
"Agriculture and vegetation","hu","pl",162234.84,11.88,0.304419217651,0.37596505493,NA
"Agriculture and vegetation","hu","pt",162995.375,10.9583333333,0.442743874592,0.129094854279,NA
"Agriculture and vegetation","hu","ro",163784.32,10.72,0.415156926337,0.147018034579,NA
"Agriculture and vegetation","hu","ru",164557.041667,11.9583333333,0.253395511465,0.313299487352,0.272727272727273
"Agriculture and vegetation","hu","sk",165322.181818,11.1363636364,0.284282566775,0.385037739672,NA
"Agriculture and vegetation","hy","be",166075.25,11.65,0.28145168228,0.295246345175,0.272727272727273
"Agriculture and vegetation","hy","bg",166782,7.72222222222,0.397128252618,0.0975923665273,0.181818181818182
"Agriculture and vegetation","hy","ca",167421.736842,9.73684210526,0.342911678605,0.127657760443,NA
"Agriculture and vegetation","hy","cs",168119.555556,10.2777777778,0.39047913563,0.293180772085,0
"Agriculture and vegetation","hy","da",168832.388889,8.33333333333,0.320939295021,0.442908309946,NA
"Agriculture and vegetation","hy","de",169567.166667,12.0555555556,0.344754225249,0.263925869758,NA
"Agriculture and vegetation","hy","en",170353.095238,10.5238095238,0.298738768092,0.250578633591,0.181818181818182
"Agriculture and vegetation","hy","es",171120.2,10.4,0.279064761193,0.418745903811,0
"Agriculture and vegetation","hy","eu",171869.0625,8.75,0.452358278374,0.187615149689,NA
"Agriculture and vegetation","hy","fr",172559.222222,10.3888888889,0.397011838225,0.323214596443,0.181818181818182
"Agriculture and vegetation","hy","he",173265.533333,9.53333333333,0.27586199283,0.153132571464,0.272727272727273
"Agriculture and vegetation","hy","hr",173970.611111,9.55555555556,0.461276070947,0.267472125104,NA
"Agriculture and vegetation","hy","it",174667.588235,9.76470588235,0.29348906806,0.2429135872,NA
"Agriculture and vegetation","hy","ja",175363.111111,7.11111111111,0.295939952795,0.105848538329,0.272727272727273
"Agriculture and vegetation","hy","ka",175983.823529,12.9411764706,0.284605186816,0.271092321815,NA
"Agriculture and vegetation","hy","kk",176659.952381,7.90476190476,0.387116480713,0.0681665398958,0.685454545454545
"Agriculture and vegetation","hy","la",177340.785714,7.28571428571,0.519262963386,-0.00204890841379,0.272727272727273
"Agriculture and vegetation","hy","lt",178041.894737,11.2631578947,0.257366142823,0.344199262187,0.272727272727273
"Agriculture and vegetation","hy","nl",178770.176471,9.76470588235,0.371002292399,0.0543362599023,0.181818181818182
"Agriculture and vegetation","hy","no",179565.533333,10.8666666667,0.338376557585,0.248598094594,NA
"Agriculture and vegetation","hy","pl",180297.55,11.25,0.277127263342,0.277796775305,NA
"Agriculture and vegetation","hy","pt",180992,9.55555555556,0.398307152114,0.175675544968,NA
"Agriculture and vegetation","hy","ro",181750.631579,9.63157894737,0.378239886124,0.165323650824,NA
"Agriculture and vegetation","hy","ru",182473.666667,10.5714285714,0.314492159274,0.210171747732,0.090909090909091
"Agriculture and vegetation","hy","sk",183203.444444,11.2777777778,0.360231391508,0.0833570831673,NA
"Agriculture and vegetation","it","be",183912.3,9.2,0.454098269552,0.317783724669,NA
"Agriculture and vegetation","it","es",184625.291667,14.625,0.179149696071,0.448640201108,NA
"Agriculture and vegetation","it","eu",185406.722222,9.72222222222,0.46620864123,0.12778880046,NA
"Agriculture and vegetation","it","he",186117.2,8,0.374945451466,0.209426130716,NA
"Agriculture and vegetation","it","ja",186821.8,7.3,0.370654705179,0.373162508402,NA
"Agriculture and vegetation","it","ka",187485.6,8.4,0.359502556534,0.371300174991,NA
"Agriculture and vegetation","it","kk",188164.875,8.33333333333,0.299515393293,0.331468985072,NA
"Agriculture and vegetation","it","ro",188882.26087,9.69565217391,0.301966521177,0.448398600339,NA
"Agriculture and vegetation","ja","be",189616.285714,7.19047619048,0.3767245508,0.281778438056,0.454545454545454
"Agriculture and vegetation","ja","es",190269.24,7.8,0.320424099319,0.465890834249,0.272727272727273
"Agriculture and vegetation","ja","eu",190990.1,5.85,0.456071904935,0.260351898124,NA
"Agriculture and vegetation","ja","he",191637.833333,5.61111111111,0.392799832104,0.17293795058,0.454545454545454
"Agriculture and vegetation","ja","ka",192276.736842,7.15789473684,0.418144638868,0.331073235184,NA
"Agriculture and vegetation","ka","be",192889,11.2857142857,0.29022124664,0.436020278777,NA
"Agriculture and vegetation","ka","es",193572.73913,10.347826087,0.408831523453,0.143937726682,NA
"Agriculture and vegetation","ka","eu",194277.777778,9.83333333333,0.461690444126,0.152747808636,NA
"Agriculture and vegetation","ka","he",194931.555556,10.3333333333,0.521710401848,0.0291954617467,NA
"Agriculture and vegetation","kk","be",195605.083333,7.83333333333,0.433090919149,0.318715046647,0.817272727272727
"Agriculture and vegetation","kk","es",196325.884615,9.26923076923,0.466279367388,0.236761984132,0.685454545454545
"Agriculture and vegetation","kk","eu",197101.619048,8.61904761905,0.334403253511,0.164538130928,NA
"Agriculture and vegetation","kk","he",197788.222222,7.27777777778,0.370417278948,0.106655414724,0.776363636363637
"Agriculture and vegetation","kk","ja",198474.4,5.92,0.358256015329,0.297484713428,0.685454545454545
"Agriculture and vegetation","kk","ka",199107.789474,10.6842105263,0.214900211508,0.26921304998,NA
"Agriculture and vegetation","la","be",199785.9375,6.6875,0.386635309194,0.178875432337,0.272727272727273
"Agriculture and vegetation","la","ca",200469.75,6.3,0.480648496344,-0.0517526021682,NA
"Agriculture and vegetation","la","es",201181.55,6.4,0.352354450077,0.12651962142,0.272727272727273
"Agriculture and vegetation","la","eu",201925.9375,6.6875,0.326265490367,-0.0958884717018,NA
"Agriculture and vegetation","la","fr",202608.75,6.35,0.431246088764,0.169407748133,0.181818181818182
"Agriculture and vegetation","la","he",203326.333333,4.75,0.47940876173,0.0143041281613,0.363636363636364
"Agriculture and vegetation","la","it",203988.526316,6.21052631579,0.509060819751,0.0181021553355,NA
"Agriculture and vegetation","la","ja",204686.842105,4.84210526316,0.259212842701,0.240631084421,0.363636363636364
"Agriculture and vegetation","la","ka",205295.5625,6.5625,0.464684694984,0.078706495231,NA
"Agriculture and vegetation","la","kk",205953.722222,5.05555555556,0.378687649163,0.168384153615,0.776363636363637
"Agriculture and vegetation","la","pt",206639.25,6.3,0.569721725484,-0.0393364603606,NA
"Agriculture and vegetation","la","ro",207371.8,5.35,0.370075827913,-0.0731561734589,NA
"Agriculture and vegetation","lt","be",208116.772727,10.9090909091,0.406090008117,0.297917245013,0.272727272727273
"Agriculture and vegetation","lt","ca",208864.363636,10.2727272727,0.433464562357,0.293841924244,NA
"Agriculture and vegetation","lt","da",209623.857143,9.71428571429,0.329680982501,0.424635016813,NA
"Agriculture and vegetation","lt","de",210427.272727,13.2727272727,0.279463945923,0.345504803975,NA
"Agriculture and vegetation","lt","en",211273.565217,10.5652173913,0.332048823699,0.246862911475,0.181818181818182
"Agriculture and vegetation","lt","es",212088.695652,10.5652173913,0.337685006436,0.272656711082,0.272727272727273
"Agriculture and vegetation","lt","eu",212877.526316,9.10526315789,0.542139919387,0.0792307598952,NA
"Agriculture and vegetation","lt","fr",213628.545455,11.5,0.2574667556,0.357888947665,0.181818181818182
"Agriculture and vegetation","lt","he",214417.294118,8.82352941176,0.413746492222,0.0659003602942,0.272727272727273
