
No.	Language	Language (local)	Wiki	Articles	Speakers	Admins	Active Users	% of Admins	depth	Articles/1000 speakers	Speakers/article
24	Newari	नेवारी	new	72,233	861,000	2	22	9.09	13	83.9	11.9
25	Dutch	Nederlands	nl	2,007,282	21,944,690	38	4365	0.87	16	91.5	10.9
26	Cebuano	Sinugboanong Binisaya	ceb	5,378,645	15,810,000	6	165	3.64	2	340.2	2.9
27	Sorani	کوردی	ckb	26,013	200,000	7	158	4.43	89	130.1	7.7
28	Slovenian	Slovenščina	sl	168,029	2,085,160	20	443	4.51	26	80.6	12.4
29	Finnish	Suomi	fi	483,562	5,392,180	37	1821	2.03	41	89.7	11.2
30	West Frisian	Frysk	fy	43,699	467,000	9	69	13.04	31	93.6	10.7
31	Catalan	Català	ca	644,903	7,200,000	21	1750	1.2	31	89.6	11.2
32	Chechen	Нохчийн	ce	254,256	1,361,000	3	35	8.57	11	186.8	5.4
33	Macedonian	Македонски	mk	105,372	1,407,810	17	207	8.21	100	74.8	13.4
34	Lithuanian	Lietuvių	lt	199,243	3,001,860	13	365	3.56	23	66.4	15.1
35	Galician	Galego	gl	163,385	2,355,000	8	302	2.65	36	69.4	14.4
36	Minangkabau	Bahaso Minangkabau	min	223,844	5,530,000	6	51	11.76	1	40.5	24.7
37	Piedmontese	Piemontèis	pms	64,710	1,600,000	10	29	34.48	2	40.4	24.7
38	Slovak	Slovenčina	sk	233,147	5,187,740	9	607	1.48	20	44.9	22.3
39	Latvian	Latviešu	lv	101,250	1,552,260	13	291	4.47	73	65.2	15.3
40	Danish	Dansk	da	258,785	5,522,490	25	909	2.75	64	46.9	21.3
41	Serbian	Српски	sr	633,135	8,957,906	19	1249	1.52	156	70.7	14.1
42	Hebrew	עברית	he	263,993	5,302,770	37	3332	1.11	259	49.8	20.1
43	Czech	Čeština	cs	452,484	13,373,480	36	2604	1.38	47	33.8	29.6
44	Chuvash	Чăваш	cv	42,935	1,077,420	3	40	7.5	6	39.8	25.1
45	Polish	Polski	pl	1,406,918	38,663,780	103	4897	2.1	30	36.4	27.5
46	Bashkir	Башҡорт	ba	51,820	1,221,340	8	91	8.79	21	42.4	23.6
47	Samogitian	Žemaitėška	bat-smg	16,870	500,000	5	29	17.24	6	33.7	29.6
48	Bosnian	Bosanski	bs	82,555	2,225,290	9	189	4.76	99	37.1	27
49	Croatian	Hrvatski	hr	217,323	5,752,090	16	708	2.26	22	37.8	26.5
50	Kazakh	Қазақша	kk	226,459	8,077,770	18	324	5.56	10	28	35.7
51	Armenian	Հայերեն	hy	268,860	5,902,970	11	706	1.56	41	45.5	22
52	Bulgarian	Български	bg	261,622	8,157,770	27	892	3.03	26	32.1	31.2
53	Serbo-Croatian	Srpskohrvatski / Српскохрватски	sh	451,270	17,057,286	11	206	5.34	758	26.5	37.8
54	Hungarian	Magyar	hu	469,022	12,606,130	30	2103	1.43	59	37.2	26.9
55	German	Deutsch	de	2,425,587	78,245,280	193	19702	0.98	94	31	32.3
56	Sakha	Саха тыла	sah	12,235	450,000	3	39	7.69	51	27.2	36.8
57	Walloon	Walon	wa	13,562	600,000	3	24	12.5	24	22.6	44.2
58	Georgian	ქართული	ka	136,729	4,237,710	4	281	1.42	36	32.3	31
59	French	Français	fr	2,207,291	74,980,460	161	21661	0.74	235	29.4	34
60	Italian	Italiano	it	1,601,868	63,655,047	110	9907	1.11	166	25.2	39.7
61	Ossetian	Иронау	os	12,101	577,450	3	24	12.5	82	21	47.7
62	Malay	Bahasa Melayu	ms	338,702	15,848,500	14	523	2.68	16	21.4	46.8
63	Ukrainian	Українська	uk	1,010,636	36,048,890	46	3567	1.29	39	28	35.7
64	Indonesian	Bahasa Indonesia	id	527,318	23,200,480	34	2818	1.21	109	22.7	44
65	Vietnamese	Tiếng Việt	vi	1,244,270	73,600,000	21	2459	0.85	648	16.9	59.2
66	Tatar	Татарча	tt	89,356	5,406,110	2	102	1.96	22	16.5	60.5
67	Romanian	Română	ro	406,528	23,782,990	19	1056	1.8	118	17.1	58.5
68	Belarusian	Беларуская	be	189,253	7,960,000	10	313	3.19	26	23.8	42.1
69	English	English	en	6,065,578	505,000,000	1144	141283	0.81	999	12	83.3
70	Kirghiz	Кыргызча	ky	79,833	2,941,930	2	62	3.23	0	27.1	36.9
71	Albanian	Shqip	sq	79,418	5,414,300	14	386	3.63	35	14.7	68.2
72	Yiddish	ייִדיש	yi	15,023	1,510,430	3	44	6.82	42	9.9	100.5
73	Lombard	Lumbaart	lmo	39,543	3,903,000	6	54	11.11	24	10.1	98.7
74	Greek	Ελληνικά	el	177,284	13,432,940	22	1247	1.76	62	13.2	75.8
75	Japanese	日本語	ja	1,202,398	125,000,000	38	14851	0.26	83	9.6	104
76	Low Saxon	Plattdüütsch	nds	64,155	3,000,000	4	58	6.9	7	21.4	46.8
77	Russian	Русский	ru	1,617,641	167,332,230	83	12647	0.66	137	9.7	103.4
78	Tajik	Тоҷикӣ	tg	100,752	4,479,650	6	75	8	9	22.5	44.5
79	Nahuatl	Nāhuatl	nah	6,976	1,500,000	3	20	15	66	4.7	215
80	Haitian	Krèyol ayisyen	ht	58,193	7,731,240	2	39	5.13	1	7.5	132.9
81	Persian	فارسی	fa	720,856	72,279,286	34	6347	0.54	181	10	100.3
82	Belarusian (Taraškievica)	Беларуская (тарашкевіца)	be-tarask	69,901	9,081,102	4	145	2.76	36	7.7	129.9
83	Uzbek	O‘zbek	uz	135,347	21,930,230	10	202	4.95	45	6.2	162
84	Sicilian	Sicilianu	scn	26,072	4,700,000	7	48	14.58	17	5.5	180.3
85	Afrikaans	Afrikaans	af	90,485	17,518,390	14	208	6.73	34	5.2	193.6
86	Thai	ไทย	th	136,996	20,396,930	14	1170	1.2	276	6.7	148.9
87	Malagasy	Malagasy	mg	92,751	18,000,000	3	33	9.09	10	5.2	194.1
88	Azerbaijani	Azərbaycanca	az	158,167	24,237,340	16	752	2.13	31	6.5	153.2
89	Korean	한국어	ko	492,690	77,166,230	24	2706	0.89	149	6.4	156.6
90	Portuguese	Português	pt	1,029,660	220,000,000	73	6110	1.19	173	4.7	213.7
91	Mazanderani	مَزِروني	mzn	13,151	3,270,000	3	40	7.5	7	4	248.7
92	Turkish	Türkçe	tr	349,750	70,805,930	24	3610	0.66	211	4.9	202.4
93	Buginese	Basa Ugi	bug	14,128	5,017,800	1	8	12.5	1	2.8	355.2
94	Venetian	Vèneto	vec	23,335	3,852,500	3	53	5.66	17	6.1	165.1
95	Tagalog	Tagalog	tl	72,303	24,245,200	12	124	9.68	37	3	335.3
96	Alemannic	Alemannisch	als	27,149	7,299,500	9	86	10.47	30	3.7	268.9
97	Neapolitan	Nnapulitano	nap	14,599	5,700,000	3	32	9.38	10	2.6	390.4
98	Spanish	Español	es	1,593,742	470,000,000	67	18420	0.36	206	3.4	294.9
99	Mongolian	Монгол	mn	19,086	5,756,590	5	78	6.41	77	3.3	301.6
100	Quechua	Runa Simi	qu	22,110	8,912,820	2	44	4.55	25	2.5	403.1
101	Swahili	Kiswahili	sw	58,397	15,457,390	11	142	7.75	10	3.8	264.7
102	Yoruba	Yorùbá	yo	32,413	19,380,800	3	41	7.32	5	1.7	597.9
103	Nepali	नेपाली	ne	34,150	16,148,100	8	118	6.78	27	2.1	472.9
104	Arabic	العربية	ar	1,040,809	315,421,300	25	6722	0.37	196	3.3	303.1
105	Malayalam	മലയാളം	ml	68,704	33,550,900	16	375	4.27	208	2	488.3
106	Banyumasan	Basa Banyumasan	map-bms	13,359	12,000,000	1	24	4.17	10	1.1	898.3
107	Urdu	اردو	ur	153,480	63,948,800	13	345	3.77	102	2.4	416.7
108	Burmese	မ္ရန္‌မာစာ	my	45,668	32,035,300	5	183	2.73	12	1.4	701.5
109	Tamil	தமிழ்	ta	128,802	68,763,360	40	450	8.89	33	1.9	533.9
110	Telugu	తెలుగు	te	70,008	74,049,000	15	220	6.82	86	0.9	1057.7
111	Bavarian	Boarisch	bar	31,080	14,089,000	7	68	10.29	46	2.2	453.3
112	Sinhalese	සිංහල	si	15,691	15,579,980	3	93	3.23	82	1	992.9
113	Kurdish	Kurdî	ku	27,477	29,960,890	4	106	3.77	24	0.9	1090.4
114	Chinese	中文	zh	1,114,453	1,197,294,060	79	9162	0.86	197	0.9	1074.3
115	Marathi	मराठी	mr	56,899	71,780,660	9	286	3.15	73	0.8	1261.5
116	Javanese	Basa Jawa	jv	57,385	84,308,740	6	83	7.23	28	0.7	1469.2
117	Cantonese	粵語	zh-yue	82,573	62,221,560	11	342	3.22	15	1.3	753.5
118	Punjabi (Eastern)	ਪੰਜਾਬੀ	pa	34,262	29,514,770	8	202	3.96	26	1.2	861.4
119	Gujarati	ગુજરાતી	gu	28,927	46,636,510	3	103	2.91	43	0.6	1612.2
120	Amharic	አማርኛ	am	14,844	21,811,600	3	47	6.38	34	0.7	1469.4
121	Punjabi (Western)	[1]	pnb	52,749	62,613,000	3	42	7.14	3	0.8	1187
122	Sundanese	Basa Sunda	su	59,945	34,000,000	8	48	16.67	2	1.8	567.2
123	Kannada	ಕನ್ನಡ	kn	26,062	37,739,040	5	144	3.47	101	0.7	1448
124	Hindi	हिन्दी	hi	137,998	260,333,620	8	2017	0.4	181	0.5	1886.5
125	Min Nan	Bân-lâm-gú	zh-min-nan	405,503	46,619,500	6	94	6.38	6	8.7	115
126	Egyptian Arabic	مصرى	arz	391,472	53,990,000	8	154	5.19	1	7.3	137.9
127	Bengali	বাংলা	bn	86,796	193,261,200	12	1379	0.87	343	0.4	2226.6
-	Limburgish	Limburgs	li	12,846	1,300,000	7	30	23.33	107	9.9	101.2
-	Oriya	ଓଡ଼ିଆ	or	15,710	33,000,000	6	75	8	61	0.5	2100.6
-	Hill Mari	Кырык Мары (Kyryk Mary)	mrj	10,271	30,000	1	16	6.25	2	342.4	2.9
-	Upper Sorbian	Hornjoserbsce	hsb	13,567	40,000	4	28	14.29	26	339.2	2.9
-	North Frisian	Nordfriisk	frr	10,565	10,000	5	22	22.73	19	1056.5	0.9
-	Simple English	Simple English	simple	160,067	505,000,000	16	1187	1.35	74	0.3	3154.9
-	Latin	Latina	la	132,655	-	21	167	12.57	13	-	-
