l1,l2,local_global,ci_lower,ci_upper,corr
BEN,POR,local,0.3802043577278322,0.5785876542557659,0.4785568912187471
BEN,RUM,global,0.306430364287609,0.33576497801095795,0.3220594717391297
BEN,RUM,local,0.42955327914506825,0.6076649017322138,0.5188095163697759
BEN,RUS,global,0.277195614666945,0.3140538652338203,0.2960101063380386
BEN,RUS,local,0.22420617579841173,0.5787220482462867,0.4348888206097003
BEN,SPA,global,0.33061141033563946,0.3568871669839909,0.3433184182933389
BEN,SPA,local,0.4449633549496268,0.6331419439440752,0.5361027777008623
BEN,TAM,global,0.3516113600193572,0.37326530596753976,0.36258004461830523
BEN,TAM,local,0.3415634730027226,0.546661258128141,0.444861755926313
BEN,TEL,global,0.3294033739132329,0.3541853725875003,0.34261004149087465
BEN,TEL,local,0.4192980589849972,0.5807651704317462,0.5024801830391884
BEN,TGL,global,0.2841943489608562,0.3191472458239945,0.30126217066664385
BEN,TGL,local,0.33750706881284825,0.5316556310110435,0.4382895743401978
BEN,THA,global,0.3075840689418068,0.3387362442597139,0.3232957206092871
BEN,THA,local,0.4521533832251976,0.6000540010730095,0.5211701531378503
BEN,TUR,global,0.2923616700842127,0.3212350991342087,0.30646640496263794
BEN,TUR,local,0.367700333243627,0.5660744882570046,0.47358305426254677
BEN,URD,global,0.33974011400320975,0.36655884291754226,0.3531051358474097
BEN,URD,local,0.39328434896034875,0.5601448770936391,0.4777949618482865
BEN,VIE,global,0.2912726113091433,0.3260453184262173,0.30948836861631857
BEN,VIE,local,0.3180332259605529,0.533861188273637,0.4317029929671107
BEN,YOR,global,0.28971054598139123,0.321353350356452,0.3052022753859648
BEN,YOR,local,0.40623172160210724,0.5727610938451193,0.491121050040034
BUL,CHI,global,0.3247349234918107,0.3577484894965253,0.3427631834303589
BUL,CHI,local,0.3937135991948476,0.5930256992551854,0.49687361858750806
BUL,DUT,global,0.3435967703235081,0.36784479484230576,0.3552558606123378
BUL,DUT,local,0.41214147266414275,0.5831361389030751,0.49948563508786104
BUL,ENG,global,0.2821664695570458,0.3205033379501374,0.30085800915757754
BUL,ENG,local,0.40768878123113644,0.5806658935313432,0.4950477961875479
BUL,FAS,global,0.3522860057110113,0.37651142676392513,0.3645311179776768
BUL,FAS,local,0.389003329100573,0.6001485795667892,0.5073125556182535
BUL,FRE,global,0.28637095782352057,0.3272068606197841,0.30634491247569506
BUL,FRE,local,0.2354124245712207,0.5683266636064905,0.42527335093394264
BUL,GER,global,0.3688977171828617,0.3966383115713518,0.3825832025796532
BUL,GER,local,0.45457719403779484,0.6406353343636371,0.548550939803809
BUL,GRE,global,0.3266618363822,0.36015234990132955,0.34354627161558043
BUL,GRE,local,0.2371002738229147,0.5854855868777703,0.43125304254430885
BUL,GUJ,global,0.3005932943321366,0.3312731663991257,0.31579465578683213
BUL,GUJ,local,0.25928266582160187,0.5425992413257561,0.41770039660793024
BUL,HIN,global,0.27710120114475856,0.31129785234433094,0.2945026063130731
BUL,HIN,local,0.32697132276286145,0.5458962864132341,0.44422794870845067
BUL,IBO,global,0.25169088865348477,0.2907285088771824,0.2705850242652116
BUL,IBO,local,0.3571687902523387,0.5378594692185859,0.4414722830508366
BUL,IND,global,0.28299151175247317,0.32535649385779303,0.305086033463855
BUL,IND,local,0.4403621587062408,0.6196796351212376,0.5268509265407234
BUL,ITA,global,0.36674581675468715,0.40024422838200974,0.38337833179108316
BUL,ITA,local,0.3909391527426732,0.6224650637250391,0.5141745930908979
BUL,JPN,global,0.3173440356480916,0.34989444793263125,0.33479975885986674
BUL,JPN,local,0.4149878803061337,0.614913775200299,0.512529765088239
BUL,KAN,global,0.280734299854058,0.31905090217501086,0.3003320729689381
BUL,KAN,local,0.42942241391814795,0.6028924587467155,0.515856844406381
BUL,KOR,global,0.33146990972603785,0.36373104069993756,0.3476620887590839
BUL,KOR,local,0.43040272151984016,0.6020082221711119,0.5139019621742289
BUL,MAL,global,0.27437810215073377,0.3123070554903604,0.2932461027576464
BUL,MAL,local,0.36105739406478765,0.5456996624139665,0.45436496017477507
BUL,MAR,global,0.27847744548227443,0.317222241970965,0.2991016985474182
BUL,MAR,local,0.39255761975854747,0.5680871679458238,0.482179523304748
BUL,NEP,global,0.2822744561944375,0.3221946186601609,0.3041434669340046
BUL,NEP,local,0.40360617047182945,0.57364729702871875,0.48734240616331476
BUL,PAN,global,0.2930824005957239,0.31468011493518183,0.30387027113501486
BUL,PAN,local,0.3292126250616186,0.5309426473849502,0.4286605721727557
BUL,POL,global,0.3240709537381615,0.3585320547629704,0.34159633070789874
BUL,POL,local,0.3777314643288762,0.5632878692524376,0.4727748896504635
BUL,POR,global,0.35753773280619955,0.38890625392019706,0.37405219034327924
BUL,POR,local,0.46051506135094694,0.6367495790074537,0.5481699490743606
BUL,RUM,global,0.36740410141955315,0.3956784763411354,0.3816936688566216
BUL,RUM,local,0.4722947738739722,0.6391223806068965,0.5517093650411309
