concept_id,english_word_form,alignment,semantic_domain
Nacht::N,night,0.4948258432385829,Time
Woche::N,week,0.49479328390471133,Time
Lehrer::N,teacher,0.49245508119446973,Cognition
Fleisch::N,meat,0.48801475953114837,Food and drink
warm::A,warm,0.487401176420951,Sense perception
Frau::N,woman,0.48714045597738453,Kinship
kalt::A,cold,0.4857438337356446,Sense perception
Arzt::N,doctor,0.4833825234547003,The body
Silber::N,silver,0.4807627364881938,Basic actions and technology
Fuchs::N,fox,0.47940068346059056,Animals
Bucht::N,cove,0.47308937056151035,The physical world
Küste::N,coast,0.4719821032228752,The physical world
Ehemann::N,husband,0.46864933831552374,Kinship
schwarz::A,black,0.4685784639924133,Sense perception
Erzählung::N,story,0.46615532777906515,Speech and language
Milch::N,milk,0.4627230057570886,Food and drink
Morgen::N,morning,0.4609680802373785,Time
Insel::N,island,0.4594236608620678,The physical world
Gold::N,gold,0.45371038323663854,Basic actions and technology
heute::ADV,today,0.45068584637849374,Time
linker::A,left,0.44802852267889437,Spatial relations
krank werden::V,fall ill,0.44717034719605125,Basic actions and technology
berühmt::A,famous,0.44524593190876405,Social and political relations
Schnee::N,snow,0.4441439916343049,The physical world
niemals::ADV,never,0.44314816652107264,Time
See::N,lake,0.44298387963394087,The physical world
Hase::N,hare,0.4422116443038385,Animals
Junge::N,boy,0.4420313276872597,Kinship
Eule::N,owl,0.44121110620250137,Animals
Zeitung::N,newspaper,0.4382368296167759,Modern world
Regen::N,rain,0.4374314898110173,The physical world
Hose::N,trousers,0.4370325773147789,Clothing and grooming
krank::A,sick,0.43662119400981264,The body
hier::ADV,here,0.43256761366725227,Miscellaneous function words
Kind::N,child,0.43236904031064954,Kinship
flüchten::V,escape,0.4302925709044784,Basic actions and technology
wieder::ADV,again,0.4291561955721173,Time
wohin::FADV,where,0.42853602613911423,Spatial relations
wohin::FADV,where to,0.42853602613911423,Spatial relations
wohin::FADV,where ... to,0.42853602613911423,Spatial relations
Brot::N,bread,0.4275244706051433,Food and drink
unterrichten::V,instruct,0.4274105388565063,Cognition
Hemd::N,shirt,0.42709091867149507,Clothing and grooming
Suppe::N,soup,0.4261705168584671,Food and drink
wo::FADV,where,0.42568482627909815,Cognition
geschlossen::A,closed,0.4254858837284858,Spatial relations
Meer::N,sea,0.42525996077537154,The physical world
grau::A,grey,0.42392173902148156,Sense perception
rechter::A,right,0.4237473836945876,Spatial relations
Stern::N,star,0.42325941159020575,The physical world
Laden::N,shop,0.4232221164267055,Possession
Speise::N,dish,0.4231989002773889,Food and drink
nicht::ADV,not,0.42307699580988817,Miscellaneous function words
Getreide::N,corn,0.4205386021628155,Agriculture and vegetation
Sonne::N,sun,0.42052094649918403,The physical world
Wolke::N,cloud,0.4196543833688292,The physical world
danach::ADV,afterwards,0.41830117482080403,Time
lehren::V,teach,0.4173614539297014,Cognition
Wolf::N,wolf,0.4166802241102567,Animals
Nahrung::N,food,0.41640484236788833,Food and drink
feucht::A,damp,0.4159333983862329,Sense perception
dort::ADV,there,0.414624660213196,Miscellaneous function words
Fluss::N,river,0.413677122843987,The physical world
Katze::N,cat,0.41290667087312927,Animals
lang::A,long,0.4128504276266248,Spatial relations
Berg::N,mountain,0.4123112487026231,The physical world
Adler::N,eagle,0.41230283100217324,Animals
zahlen::V,pay,0.41220436007410405,Possession
später::ADV,later,0.41113300618396303,Time
Bär::N,bear,0.4107809790173732,Animals
Arbeiter::N,worker,0.4104297518581822,Modern world
Länge::N,length,0.4089956576156548,Spatial relations
bezahlen::V,pay for,0.40848120444022457,Possession
Geschmack::N,flavor,0.40778890560751296,Food and drink
Geschmack::N,flavour,0.40778890560751296,Food and drink
wie::FADV,how,0.4063974844118353,Cognition
verschieden::A,different,0.4059060257401239,Social and political relations
lernen::V,learn,0.40530494778835247,Cognition
Kälte::N,chill,0.4042637936700218,Sense perception
Mittag::N,noon,0.4036524444265488,Time
Tod::N,death,0.4016807454976776,The body
Buch::N,book,0.4016123655750489,Speech and language
kühl::A,cool,0.39866865854956945,The physical world
Butter::N,butter,0.39864778488924196,Food and drink
zusammen::ADV,together,0.398538349655298,Spatial relations
noch::ADV,still,0.39822626692103535,Time
offen::A,open,0.3981047624475761,Spatial relations
Gipfel::N,summit,0.3974837468471206,The physical world
Vogel::N,bird,0.3970650208068441,Animals
sehr::ADV,very,0.3958847219717838,Miscellaneous function words
Familie::N,family,0.39446776555615903,Kinship
Essen::N,meal,0.39410867327324095,Food and drink
Wald::N,forest,0.3936638397306178,The physical world
Stadt::N,town,0.3930696687381875,Social and political relations
Kampf::N,fight,0.39305581063072426,Basic actions and technology
jetzt::ADV,now,0.39210795665391096,Time
Eichhörnchen::N,squirrel,0.3910682946329403,Animals
Kiefer[Baum]::N,pine,0.3910020110326972,Agriculture and vegetation
verkaufen::V,sell,0.38942280934464185,Possession
oder::CNJ,or,0.3885383064862196,Cognition
Gehirn::N,brain,0.3876120138621353,The body
Sumpf::N,swamp,0.3863537633367619,The physical world
Gewehr::N,gun,0.3847070048296407,Basic actions and technology
Geld::N,money,0.3838515619959719,Animals
verbergen::V,conceal,0.3836448921506279,Spatial relations
Entfernung::N,distance,0.3829832244514843,Spatial relations
damals::ADV,at that time,0.3824336166335404,Time
wählen::V,choose,0.3808336084903248,Emotions and values
Licht::N,light,0.3802388044476886,The physical world
verbrennen::V,burn,0.37876616008208597,The physical world
Freund::N,friend,0.3779066097332457,Social and political relations
Wind::N,wind,0.3767453289788855,The physical world
so::ADV,so,0.3764006233019336,Miscellaneous function words
reich::A,rich,0.37565294810821664,Possession
Monat::N,month,0.37556118917398346,Time
Brust::N,breast,0.37492203182680295,The body
Brust::N,chest,0.37492203182680295,The body
Kuh::N,cow,0.3744529577901359,Animals
was::FPRN,what,0.3744287415585397,Cognition
Hund::N,dog,0.37409510244983596,Animals
Moor::N,moor,0.37394417941662184,The physical world
zuerst::ADV,at first,0.37369844802429836,Time
hinab::ADV,down,0.37335729018148245,Spatial relations
warum::FADV,why,0.3731479920618887,Cognition
schön::A,beautiful,0.3729319023581514,Emotions and values
Schwan::N,swan,0.37229859311031765,Animals
schon::ADV,already,0.37217329945989563,Time
immer::ADV,always,0.3720635249848914,Time
dies::PRN,this,0.37141309723605737,Miscellaneous function words
groß::A,big,0.37106682553637865,Spatial relations
Tanne::N,fir,0.36964630818077515,Agriculture and vegetation
Gesundheit::N,health,0.3691939829466241,The body
stark::A,strong,0.36898477998717405,The body
sich anziehen::V,get dressed,0.36882995298493737,Clothing and grooming
Arznei::N,medicine,0.3688164902741403,The body
behindern::V,hinder,0.3686143658860727,The physical world
trocken::A,dry,0.3684135570122256,Sense perception
klein::A,little,0.36803993440165467,Spatial relations
König::N,king,0.367111584812903,Social and political relations
Schwein::N,pig,0.3661701582708571,Animals
Preis::N,price,0.3652023593319663,Possession
Märchen::N,fairy tale,0.36422167718245435,Modern world
letzter::A,last,0.3634189448053849,Quantity
Honig::N,honey,0.363269507756068,Food and drink
Eis::N,ice,0.36264578837132666,The physical world
auswählen::V,select,0.3614138488880572,Emotions and values
dann::ADV,then,0.3597938725524944,Time
wertvoll::A,precious,0.35963026523058644,Emotions and values
wir::PRN,we,0.3593098592612402,Kinship
eins::NUM,one,0.35856989784537846,Quantity
Birke::N,birch,0.35838582324799073,Agriculture and vegetation
zwischen::PRP,between,0.35833301957672653,Spatial relations
Maus::N,mouse,0.3580525805247111,Animals
das::PRN,that,0.35725274522291883,Miscellaneous function words
Oberschenkel::N,thigh,0.357194914495018,The body
Jahr::N,year,0.3569056409066856,Time
gestern::ADV,yesterday,0.35656886675422717,Time
Kiefer[Anatomie]::N,jaw,0.3561515700690227,The body
zuhören::V,listen,0.35605369122174235,Sense perception
Luft::N,air,0.3552735607486267,The physical world
dorthin::ADV,thither,0.3547007892575792,Spatial relations
dorthin::ADV,to there,0.3547007892575792,Spatial relations
dorthin::ADV,there,0.3547007892575792,Spatial relations
bekannt::A,familiar,0.35221088333022743,Emotions and values
Schmerz::N,pain,0.35146168457276106,Emotions and values
sprechen::V,speak,0.35115448743656413,Speech and language
Gans::N,goose,0.35073521710606964,Animals
anzünden::V,light,0.3504616689974145,The physical world
süß::A,sweet,0.35040205322174633,Sense perception
kurz::A,short,0.34959982187735456,Spatial relations
kaufen::V,buy,0.34956738325379516,Possession
breit::A,wide,0.3494280413454143,Spatial relations
morgen::ADV,tomorrow,0.3471375025137935,Time
sie::PRN,they,0.34635929755555106,Kinship
hinauf::ADV,up,0.34605795872482775,Spatial relations
Salz::N,salt,0.3458157417019491,Food and drink
Höhe::N,height,0.3457316106769335,Spatial relations
Baum::N,tree,0.34508472253276945,Agriculture and vegetation
Knie::N,knee,0.3446675933778489,The body
Fieber::N,fever,0.3444864438735865,The body
ändern::V,alter,0.3444517023300896,Spatial relations
reden::V,talk,0.34368468127626184,Basic actions and technology
Krähe::N,crow,0.3435037286244863,Animals
Zeh::N,toe,0.3433600218051285,The body
Hecht::N,pike,0.34333928281342296,Animals
Freude::N,joy,0.3431966620794293,Emotions and values
Hügel::N,hill,0.3430864468596349,The physical world
Mann::N,man,0.34285139052063474,Kinship
Nase::N,nose,0.342376351512093,The body
Lied::N,song,0.34215041319060296,Modern world
Himmel::N,sky,0.3415734051421346,The physical world
Ellenbogen::N,elbow,0.3414629817505651,The body
von hier::ADV,hence,0.34111410188101393,Cognition
Bulle::N,bull,0.34049901914703967,Animals
Huhn::N,chicken,0.34042784244884505,Animals
Eisen::N,iron,0.340364673685663,Basic actions and technology
arm::A,poor,0.34036004054344166,Possession
töten::V,kill,0.34024647117506457,The body
Kuckuck::N,cuckoo,0.34017401942691106,Animals
singen::V,sing,0.3395781592833347,Speech and language
heiß::A,hot,0.3386030843328901,Sense perception
gefrieren::V,freeze,0.33826108122985177,The physical world
Fisch::N,fish,0.3382497506624782,Animals
lustig::A,merry,0.33780884954597123,Emotions and values
und::CNJ,and,0.3365350650936534,Cognition
zerstören::V,destroy,0.336045588116366,Possession
gut::A,good,0.3357109361795784,Emotions and values
Sprache::N,language,0.33532368441122984,Speech and language
fischen::V,fish,0.33419797027896886,Basic actions and technology
Frost::N,frost,0.3338127961868626,Sense perception
überall::ADV,everywhere,0.3325702251980496,Spatial relations
fliehen::V,flee,0.33251481379929054,Motion
hören::V,hear,0.3322247541400459,Sense perception
Gedanke::N,thought,0.33213254399913067,Emotions and values
Ente::N,duck,0.3318465629272084,Animals
Ufer::N,shore,0.3316838185958975,The physical world
finden::V,find,0.33164192916356966,Possession
Boot::N,boat,0.33163761499408784,Motion
Fehler::N,mistake,0.3309376410557622,Emotions and values
Zwiebel::N,onion,0.3309130478005609,Agriculture and vegetation
lesen::V,read,0.3290586243306406,Speech and language
einmal::ADV,once,0.3282523337809053,Time
Bauch::N,belly,0.3281814145546424,The body
beginnen::V,begin,0.3280213146538071,Time
bleiben::V,stay,0.3278765020151059,Spatial relations
schwimmen::V,swim,0.3277813532856146,Motion
Finger::N,finger,0.326147213228271,The body
Hunger::N,hunger,0.32595614632458464,Food and drink
Wort::N,word,0.3256641480568262,Speech and language
Nebel::N,fog,0.32563589193265524,The physical world
Schnurrbart::N,moustache,0.32549229068344065,The body
Kranich::N,crane,0.3254722400014255,Animals
schützen::V,protect,0.32538017439356526,Basic actions and technology
schreiben::V,write,0.3252373379893464,Speech and language
unten::ADV,below,0.32510527784644483,Spatial relations
Ei::N,egg,0.3250434228977097,Food and drink
Laut::N,sound,0.3245540377920203,Sense perception
Fenster::N,window,0.32422170668730244,The house
Schaf::N,sheep,0.3240478922141132,Animals
backen::V,bake,0.323951577220248,Food and drink
wegen::PRP,because of,0.32393010771942504,Basic actions and technology
abnehmen::V,decrease,0.3238603972396871,Basic actions and technology
zurückkommen::V,come back,0.32350007843250833,Motion
Glück::N,happiness,0.32329713460493376,Emotions and values
schwach::A,weak,0.3227509863177794,The body
Sand::N,sand,0.322509510948064,The physical world
weggehen::V,go away,0.3214120842710107,Motion
sofort::ADV,instantly,0.32126134608680995,Time
zunehmen::V,increase,0.3208655542573323,Basic actions and technology
enden::V,end,0.3199020657035943,Time
du::PRN,thou,0.3191785722396551,Kinship
du::PRN,you,0.3191785722396551,Kinship
Kinn::N,chin,0.31899633143059714,The body
bemerken::V,notice,0.318953627794452,Basic actions and technology
traurig::A,sad,0.3188755505305997,Emotions and values
Grenze::N,border,0.3180409677000678,Social and political relations
verstehen::V,understand,0.31796929447919986,Cognition
Anzahl::N,count,0.3178970107181236,Modern world
Stimme::N,voice,0.3174460477815739,Speech and language
Feind::N,enemy,0.3167668381485288,Social and political relations
Brücke::N,bridge,0.3166913316297538,Motion
Lippe::N,lip,0.31645266815115236,The body
bauen::V,build,0.31628071706398847,Basic actions and technology
Tier::N,animal,0.3157642253753099,Animals
vorher::ADV,before,0.3156787092855647,Time
Öl::N,oil,0.31564075750303894,Food and drink
Mond::N,moon,0.3153318448861504,The physical world
beenden::V,finish,0.31528487279758854,Time
Größe::N,size,0.3151805981091663,Spatial relations
Wahrheit::N,truth,0.3148159639871545,Emotions and values
Chef::N,boss,0.3146599850863615,Modern world
Weg::N,way,0.31446350340446294,Motion
Hitze::N,heat,0.3138048874026811,The physical world
kochen::V,boil,0.3137267736093742,Food and drink
Schwanz::N,tail,0.31354726054575527,The body
Ameise::N,ant,0.3133040451601199,Animals
Geschenk::N,gift,0.31329230215287657,Basic actions and technology
Fett::N,fat,0.3132690984369664,The body
Genick::N,nape,0.31301801182519434,The body
essen::V,eat,0.31298872922576276,Food and drink
Grund::N,reason,0.31226004693776843,Emotions and values
oben::ADV,above,0.31186951630162657,Spatial relations
Gott::N,god,0.31131192852973577,Social and political relations
Kirche::N,church,0.3111370447412253,Social and political relations
Sinn::N,meaning,0.3106026051816331,Emotions and values
Brei::N,mush,0.31014833097576794,The physical world
färben::V,dye,0.30993152562340137,Clothing and grooming
sauer::A,sour,0.3093892038343985,Sense perception
tauen::V,thaw,0.3093581750581353,Basic actions and technology
sich unterhalten::V,chat,0.30922027073455305,Basic actions and technology
hierhin::ADV,hither,0.3091722530920819,Spatial relations
hierhin::ADV,to here,0.3091722530920819,Spatial relations
hierhin::ADV,here,0.3091722530920819,Spatial relations
lange::ADV,long,0.3088015671811418,Time
erzählen::V,tell,0.3086156485186395,Speech and language
Kohle::N,coal,0.30855928011294503,The physical world
ihr::PRN,you,0.3083039677871325,Kinship
herstellen::V,produce,0.3079636831998748,Modern world
Grab::N,grave,0.30794053165490154,The body
Mütze::N,cap,0.30700657597208664,Clothing and grooming
schmal::A,narrow,0.3065348075686393,Spatial relations
Rauch::N,smoke,0.3064500610680499,The physical world
Arbeit::N,work,0.3063346677262179,Basic actions and technology
springen::V,jump,0.3059604324186503,Motion
einladen::V,invite,0.305556947900748,Social and political relations
schlecht::A,bad,0.3053597007918836,Emotions and values
umkommen::V,perish,0.3044509116932471,Basic actions and technology
sich waschen::V,wash,0.3032403579014891,Basic actions and technology
lecker::A,delicious,0.30303377609309795,Food and drink
Lüge::N,lie,0.30298915690665135,Emotions and values
Zahn::N,tooth,0.3029361518733256,The body
schmelzen::V,melt,0.3028037321251408,The physical world
Rede::N,speech,0.3027688612909202,Speech and language
Tür::N,door,0.30252234052305654,The house
sterben::V,die,0.3024987728900945,The body
bitter::A,bitter,0.30230850706804935,Sense perception
durch::PRP,through,0.30224570889374164,Miscellaneous function words
besuchen::V,visit,0.3020329588555971,Social and political relations
fühlen::V,feel,0.30202123500545175,Basic actions and technology
Weide::N,pasture,0.3018798213971257,Animals
Feuer::N,fire,0.3017437705628377,The physical world
Krieg::N,war,0.3016996428011437,Social and political relations
Tee::N,tea,0.30114400223086124,Modern world
Leber::N,liver,0.30054252889303407,The body
denken::V,think,0.3004109855977319,Cognition
Mund::N,mouth,0.30014366737242343,The body
braten::V,fry,0.3001412418807717,Food and drink
Blut::N,blood,0.29974222012792634,The body
schießen::V,shoot,0.2996356424552476,Basic actions and technology
vernehmen::V,hear,0.2993469942837635,Sense perception
Wolle::N,wool,0.2992618166124861,Clothing and grooming
Knochen::N,bone,0.29921529983388023,The body
Bart::N,beard,0.2991077542933722,The body
Lehm::N,clay,0.29903877266428475,Basic actions and technology
Blume::N,flower,0.298924453060324,Agriculture and vegetation
wer::FPRN,who,0.29882457923377187,Cognition
Nachricht::N,message,0.2986320079600727,Basic actions and technology
Haus::N,house,0.2981526185744044,The house
Wiese::N,meadow,0.2979303900014816,The physical world
Abhang::N,slope,0.2972702468500006,The physical world
billig::A,cheap,0.2968955859522035,Possession
Spinne::N,spider,0.2968777079526317,Animals
Reichtum::N,wealth,0.2964576484801971,Modern world
wechseln::V,change,0.2956910491899518,Spatial relations
Schulter::N,shoulder,0.2950830778526337,The body
sagen::V,say,0.29507466890190304,Speech and language
Geruch::N,odor,0.2950638346973224,Sense perception
Geruch::N,odour,0.2950638346973224,Sense perception
retten::V,rescue,0.2943037442451153,Possession
verstecken::V,hide,0.29426036676186557,Spatial relations
dunkel::A,dark,0.29381290954083417,Sense perception
bald::ADV,soon,0.29375508834274144,Time
trocknen::V,dry,0.2934207929141191,Basic actions and technology
zurück::ADV,back,0.2933850660647378,Spatial relations
Hals::N,neck,0.29290924651739936,The body
Gespräch::N,talk,0.2927208346054498,Basic actions and technology
tanzen::V,dance,0.2925011801529046,Motion
Spiel::N,game,0.29219092056383494,Social and political relations
er::PRN,he,0.29155400444927637,Kinship
Fliege::N,fly,0.29142621994109436,Animals
Donner::N,thunder,0.29087279886751377,The physical world
hübsch::A,pretty,0.2904910658552848,Sense perception
begreifen::V,grasp,0.29013770132469996,Cognition
Herz::N,heart,0.28986309092511237,The body
ankommen::V,arrive,0.28972957452049797,Motion
Straße::N,road,0.28958460697066407,Motion
sich erholen::V,relax,0.2894016023436229,The body
Ware::N,ware,0.28939405009534946,Modern world
kräftig::A,powerful,0.2890850804730098,Emotions and values
Ski::N,ski,0.2888898324686825,Modern world
Höhle::N,cave,0.2885505623679889,The physical world
atmen::V,breathe,0.28839110910675153,The body
glauben::V,believe,0.28834854228379503,Cognition
Dorf::N,village,0.2877320918435089,Social and political relations
Hilfe::N,help,0.28734937454450904,Social and political relations
Anhöhe::N,elevation,0.2873022440239427,The physical world
reparieren::V,mend,0.2869141465084082,Basic actions and technology
ich::PRN,i,0.28641198041468074,Kinship
wieviel::FNUM,how much,0.28578020275828137,Cognition
husten::V,cough,0.2844344444058037,The body
Kehle::N,throat,0.2842214287811398,The body
Ohr::N,ear,0.2842122118525934,The body
bekommen::V,get,0.2842098235245247,Possession
verlassen::V,leave,0.2834878542429155,Motion
vorwärts::ADV,forward,0.28336463928138844,Spatial relations
Pfad::N,path,0.2831731206905495,Motion
zerbrechen::V,break,0.2827374555942711,Basic actions and technology
anfangen::V,start,0.28269762967257916,Time
spülen::V,rinse,0.28250128696973525,Basic actions and technology
Glas::N,glass,0.2823965822723717,Basic actions and technology
Wasser::N,water,0.2823524774227941,The physical world
dumm::A,stupid,0.2822322948610133,Cognition
verschwinden::V,disappear,0.28211568307819085,Motion
Staat::N,state,0.28210385228763546,Modern world
suchen::V,look for,0.28202159520466263,Possession
suchen::V,seek,0.28202159520466263,Possession
klettern::V,climb,0.28176347611006797,Motion
Abstand::N,gap,0.2815946637651029,Spatial relations
Bein::N,leg,0.28112538361353534,The body
Haar::N,hair,0.2810317326099186,The body
erkennen::V,recognize,0.2810090188239343,Basic actions and technology
einst::ADV,once,0.2809595706056602,Time
Schmetterling::N,butterfly,0.2809217733083703,Animals
sehen::V,see,0.2807897877857092,Sense perception
Pferd::N,horse,0.2800876647589516,Animals
erwarten::V,wait for,0.2798479263681858,Motion
Barsch::N,perch,0.2788016848214768,Animals
geschickt::A,skilful,0.27846038244905735,Basic actions and technology
geschickt::A,skillful,0.27846038244905735,Basic actions and technology
Bach::N,brook,0.27702188020968466,The physical world
plötzlich::ADV,suddenly,0.2767331383690277,Time
brennen::V,burn,0.2764982206382523,The physical world
stehlen::V,steal,0.2762372859139986,Basic actions and technology
Rücken::N,spine,0.2759761644366419,The body
Rücken::N,back,0.2759761644366419,The body
Unglück::N,misfortune,0.27591732169508987,Emotions and values
Pilz::N,mushroom,0.27523381168816685,Agriculture and vegetation
bunt::A,colourful,0.2751747376439569,Sense perception
bunt::A,colorful,0.2751747376439569,Sense perception
dünn::A,thin,0.2748195105421485,Spatial relations
Gelächter::N,laughter,0.2747384772491107,Emotions and values
Kummer::N,grief,0.27414951985000247,Emotions and values
jung::A,young,0.2737002714033016,Time
sinken::V,drop,0.2735388342507269,Motion
Sünde::N,sin,0.2734141056743393,Emotions and values
Leben::N,life,0.27338231265288065,The body
wissen::V,know,0.2729289809389229,Cognition
Kamerad::N,companion,0.2729280612334833,Social and political relations
spitz::A,pointed,0.27289854741639075,Spatial relations
Buchstabe::N,character,0.27271397762170024,Speech and language
aufwachen::V,wake up,0.2720640980426363,The body
Staub::N,dust,0.2719006663438921,The physical world
trinken::V,drink,0.27188058893383404,Food and drink
ein wenig::ADV,a little,0.2716585981552123,Basic actions and technology
betrügen::V,cheat,0.27156126881204384,Cognition
fassen::V,catch,0.27133815587778276,Basic actions and technology
baden::V,bath,0.27100580010924324,The body
Gewicht::N,weight,0.2709371364195117,Sense perception
Weide[Baum]::N,willow,0.27045614090786224,Agriculture and vegetation
Gegend::N,area,0.26933287383920457,The physical world
Schaden::N,damage,0.2685423555633177,Modern world
Volk::N,nation,0.2678403625950224,Social and political relations
täuschen::V,deceive,0.2677237472392445,Emotions and values
Elch::N,elk,0.267465745318566,Animals
Hand::N,hand,0.2673761033000478,The body
alles::PRN,everything,0.2673645001458915,Quantity
arbeiten::V,work,0.2672231456167732,Basic actions and technology
Fuß::N,foot,0.26719316277802063,The body
tauchen::V,dive,0.2667757743376937,Motion
Schlange[Tier]::N,snake,0.26599988484701603,Animals
Dach::N,roof,0.26589788982468293,The house
Mücke::N,midge,0.26547835190443064,Animals
frieren::V,be cold,0.26493604802061377,The body
fern::A,far,0.2648165797506601,Spatial relations
klug::A,clever,0.2647531672812377,Emotions and values
Stein::N,stone,0.2637411361608901,The physical world
rückwärts::ADV,backward,0.2632788218142963,Spatial relations
öffnen::V,open,0.26324459424856567,Spatial relations
neben::PRP,next to,0.26305541508806085,Spatial relations
übersetzen::V,translate,0.2627071121801763,Basic actions and technology
Hahn::N,cock,0.2625449719209191,Animals
Verstand::N,mind,0.26242306288819756,Cognition
Kraft::N,force,0.2620518178181551,The body
Tor::N,gate,0.2618500825076935,The house
hart::A,hard,0.26090268839955205,Sense perception
dick[Gegenstand]::A,thick,0.26088497551424544,Spatial relations
Wetter::N,weather,0.26017946298219696,The physical world
Arm::N,arm,0.2601368733219584,The body
reinigen::V,clean,0.2600974134806521,Motion
erhalten::V,receive,0.2599077029369172,Possession
Wunsch::N,wish,0.2596129780816497,Emotions and values
Mensch::N,human,0.25934082865411917,Kinship
fragen::V,ask,0.2592610631544706,Speech and language
Menge::N,amount,0.2590430004983142,Basic actions and technology
Leder::N,leather,0.2589742392211544,Clothing and grooming
Stoff::N,cloth,0.25871358850955745,Clothing and grooming
Magen::N,stomach,0.2586676548832768,The body
neu::A,new,0.2585998521220956,Time
Geist::N,spirit,0.25829915676395104,Emotions and values
Meister::N,master,0.2577431448906607,Social and political relations
Tuch::N,scarf,0.2571847399862551,Clothing and grooming
hochheben::V,lift,0.2571052840967749,Motion
vorbereiten::V,prepare,0.2567765161410742,Basic actions and technology
steigen::V,rise,0.2564963101662634,The physical world
Schuh::N,shoe,0.2556212399989262,Clothing and grooming
Kragen::N,collar,0.25557222734893065,Clothing and grooming
Brief::N,letter,0.2553286111970102,Modern world
schlank::A,slim,0.255031506570181,Spatial relations
böse::A,evil,0.25461625212200745,Emotions and values
funkeln::V,sparkle,0.25402215825648594,Basic actions and technology
wohnen::V,dwell,0.253685919837259,The house
Ruhe::N,calm,0.25348745080858326,Sense perception
Traum::N,dream,0.25285362039181924,The body
Apfel::N,apple,0.25243814111769836,Agriculture and vegetation
waschen::V,wash,0.25243547345589884,Basic actions and technology
zudecken::V,cover,0.2522996559098331,Spatial relations
erscheinen::V,appear,0.25218441219565757,Basic actions and technology
Schlaf::N,sleep,0.25215950845880286,Basic actions and technology
schließen::V,close,0.25212386968245815,Spatial relations
