n_clusters,lang,vmeasure,n_words
250,PAN,0.5444563578682692,2705
25,PAN,0.1816984506812178,2705
15,PAN,0.14987069957385202,2705
20,PAN,0.16993369856042362,2705
75,PAN,0.3067459496075671,2705
150,PAN,0.4444342906308445,2705
200,PAN,0.501410042302444,2705
10,POL,0.14031638752795095,3412
50,POL,0.2877854843716429,3412
100,POL,0.3869625390853509,3412
250,POL,0.562394790487307,3412
25,POL,0.22590737904699182,3412
15,POL,0.17560520117191714,3412
20,POL,0.1962523548037564,3412
75,POL,0.35289337630940865,3412
150,POL,0.4677260303204507,3412
200,POL,0.5127157737336563,3412
10,POR,0.15054064312256246,3474
50,POR,0.3066808887133029,3474
100,POR,0.41230379886036783,3474
250,POR,0.5663769581689428,3474
25,POR,0.2299717243189488,3474
15,POR,0.18195341421979916,3474
20,POR,0.21969856435823212,3474
75,POR,0.3653395532953614,3474
150,POR,0.47550088250559924,3474
200,POR,0.5264337655182708,3474
10,RUM,0.13908447207026395,3279
50,RUM,0.27580530285411614,3279
100,RUM,0.3890064868938737,3279
250,RUM,0.5571448404282163,3279
25,RUM,0.21329186518763835,3279
15,RUM,0.16091773965036985,3279
20,RUM,0.1889042874300961,3279
75,RUM,0.3297127873487253,3279
150,RUM,0.4550872878594946,3279
200,RUM,0.5114132651266846,3279
10,RUS,0.16247604530660256,3472
50,RUS,0.30962341253897535,3472
100,RUS,0.4058792217236545,3472
250,RUS,0.5748184436043171,3472
25,RUS,0.24330919538576493,3472
15,RUS,0.1938399227584823,3472
20,RUS,0.20673023979738617,3472
75,RUS,0.3649927562064611,3472
150,RUS,0.4850625783475718,3472
200,RUS,0.5291242411056812,3472
10,SPA,0.1522035300953545,3488
50,SPA,0.3117676048164997,3488
100,SPA,0.4063607675089687,3488
250,SPA,0.5744869555402097,3488
25,SPA,0.22326695956487427,3488
15,SPA,0.17976637908296164,3488
20,SPA,0.2048469486582205,3488
75,SPA,0.3591138973892733,3488
150,SPA,0.47914851858735197,3488
200,SPA,0.5265396331284641,3488
10,TAM,0.17337228617377598,2969
50,TAM,0.28955246570778365,2969
100,TAM,0.38140025904321057,2969
250,TAM,0.5584902162675526,2969
25,TAM,0.22098472235210226,2969
15,TAM,0.1818584027526664,2969
20,TAM,0.19836862049451603,2969
75,TAM,0.3369237497705486,2969
150,TAM,0.4507075029149742,2969
200,TAM,0.5017497784193756,2969
10,TEL,0.15808410675738066,3220
50,TEL,0.288427423753508,3220
100,TEL,0.37492440201545907,3220
250,TEL,0.5465302006079312,3220
25,TEL,0.23488008017123477,3220
15,TEL,0.18782985642225478,3220
20,TEL,0.20672673120293925,3220
75,TEL,0.34106813635954425,3220
150,TEL,0.4507038752542472,3220
200,TEL,0.5028559860870888,3220
10,TGL,0.18448891908358278,2910
50,TGL,0.29258151699680834,2910
100,TGL,0.3806175557550802,2910
250,TGL,0.5622834113653224,2910
25,TGL,0.22698028274253376,2910
15,TGL,0.21415325326225407,2910
20,TGL,0.2371178847971573,2910
75,TGL,0.34033235099626435,2910
150,TGL,0.4663239044703743,2910
200,TGL,0.5104837432227924,2910
10,THA,0.17901365878160774,3236
50,THA,0.30546982900737196,3236
100,THA,0.4020432058535226,3236
250,THA,0.575704875770735,3236
25,THA,0.2500019166559444,3236
15,THA,0.20158434675140227,3236
20,THA,0.22729648935403834,3236
75,THA,0.3644087127160102,3236
150,THA,0.47754084577860634,3236
200,THA,0.5241179828891892,3236
10,TUR,0.1532474546732084,3319
50,TUR,0.2977905597583648,3319
100,TUR,0.3922361823330544,3319
250,TUR,0.562595646577439,3319
25,TUR,0.2161760133130654,3319
15,TUR,0.16465569566817745,3319
20,TUR,0.1984165125279141,3319
75,TUR,0.3432996684340393,3319
150,TUR,0.45630194643000876,3319
200,TUR,0.5074993637436785,3319
10,URD,0.15413999972263867,2775
50,URD,0.2593450489440683,2775
100,URD,0.3722593262200335,2775
250,URD,0.5565126600190097,2775
25,URD,0.19719564456426983,2775
15,URD,0.17239797897448547,2775
20,URD,0.18802918773332974,2775
75,URD,0.31930573545021196,2775
150,URD,0.43950732109676094,2775
200,URD,0.5018708148548428,2775
10,VIE,0.1771015227498839,3333
50,VIE,0.30531833456552054,3333
100,VIE,0.41351211408919347,3333
250,VIE,0.5711325363779385,3333
25,VIE,0.24781449098983208,3333
15,VIE,0.19568961793340928,3333
20,VIE,0.23169050727182944,3333
75,VIE,0.3664385573189641,3333
150,VIE,0.4723064764823855,3333
200,VIE,0.5238152598801135,3333
10,YOR,0.15466370309009692,2527
50,YOR,0.26619624242253304,2527
100,YOR,0.3748852482507925,2527
250,YOR,0.5629251953024328,2527
25,YOR,0.19507321628822435,2527
15,YOR,0.1661917425632618,2527
20,YOR,0.16677800645269486,2527
75,YOR,0.3327143232430162,2527
150,YOR,0.4531340317030816,2527
200,YOR,0.5120722516457564,2527
